s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C
Time,TC_23,TC_20,TC_17,TC_14,TC_3,TC_22,TC_19,TC_16,TC_13,TC_11,TC_2,TC_21,TC_18,TC_15,TC_12,TC_10,TC_1,HF_10,HF_5,HF_9,HF_7,HF_4,HF_2,HF_8,HF_6,HF_3,HF_1,TC_32,TC_31,TC_30,TC_29,TC_28,TC_37,TC_36,TC_35,TC_34,TC_33
 9.0000940E+001, 2.4542175E+002, 6.2420189E+001, 6.0161950E+001, 6.2951456E+001, 8.8405977E+001, 3.3396073E+002, 2.5387401E+002, 2.5281102E+002, 2.4824640E+002, 2.4097400E+002, 1.7862447E+002, 3.1134590E+002, 1.8162359E+002, 2.0114961E+002, 2.1597424E+002, 2.2749755E+002, 2.0382719E+002, 4.4449688E+000, 2.3583287E+000, 1.0820434E+001, 9.3755379E+000, 8.2844076E+000, 6.9562851E+000, 4.7295044E+000, 4.8089298E+000, 4.9489565E+000, 5.2156390E+000, 7.3936055E+002, 7.6491078E+002, 7.8977418E+002, 7.9042110E+002, 7.7967900E+002, 5.7425749E+002, 6.7450827E+002, 7.2208113E+002, 7.3224083E+002, 7.2666234E+002
 1.0000016E+002, 3.1010158E+002, 7.5659767E+001, 7.2470904E+001, 7.4736352E+001, 9.7632136E+001, 4.0330349E+002, 2.9690468E+002, 2.9507450E+002, 2.9030947E+002, 2.7569668E+002, 1.9881708E+002, 3.7525072E+002, 2.0020748E+002, 2.1952500E+002, 2.3355669E+002, 2.4828822E+002, 2.2790112E+002, 5.5443606E+000, 3.2513225E+000, 1.0870912E+001, 9.2041410E+000, 8.0361699E+000, 6.7105406E+000, 4.8760536E+000, 4.8499350E+000, 4.8243584E+000, 4.8074291E+000, 7.7188756E+002, 7.9751667E+002, 8.2773209E+002, 8.3157440E+002, 8.2165062E+002, 6.2167971E+002, 6.9809201E+002, 7.6150379E+002, 7.7364158E+002, 7.6964018E+002
 1.1000090E+002, 3.5631462E+002, 8.3501041E+001, 8.1508191E+001, 8.2789714E+001, 1.1098213E+002, 4.4261164E+002, 3.2840931E+002, 3.2098302E+002, 3.0816229E+002, 2.9128905E+002, 2.0376730E+002, 4.1565639E+002, 2.1104825E+002, 2.3221015E+002, 2.4456011E+002, 2.5479262E+002, 2.3355846E+002, 5.8955094E+000, 3.2871414E+000, 1.1968122E+001, 1.0327907E+001, 8.9527078E+000, 7.4282269E+000, 5.2275278E+000, 5.2297039E+000, 5.3558452E+000, 5.5308396E+000, 7.9989458E+002, 8.2371518E+002, 8.5455857E+002, 8.6019028E+002, 8.5350864E+002, 6.3297154E+002, 6.9475142E+002, 7.9471052E+002, 8.1045069E+002, 8.0780438E+002
 1.2000288E+002, 3.8009197E+002, 8.8345389E+001, 8.4427442E+001, 8.5430162E+001, 1.1208326E+002, 4.8101794E+002, 3.4151392E+002, 3.3624924E+002, 3.2682984E+002, 3.0746105E+002, 2.1688901E+002, 4.4877118E+002, 2.1103570E+002, 2.3100756E+002, 2.4474856E+002, 2.5629046E+002, 2.4477405E+002, 5.9512092E+000, 3.2744206E+000, 1.3180530E+001, 1.1078371E+001, 9.7439377E+000, 8.0837270E+000, 5.6281479E+000, 5.4791681E+000, 5.4754522E+000, 5.5907121E+000, 8.2691887E+002, 8.4919424E+002, 8.7668892E+002, 8.8158047E+002, 8.7628240E+002, 6.4870972E+002, 7.2312163E+002, 8.2359484E+002, 8.4168665E+002, 8.3855932E+002
 1.3000265E+002, 3.7716818E+002, 9.4899508E+001, 8.9069482E+001, 8.9290685E+001, 1.1166392E+002, 4.9137577E+002, 3.5751376E+002, 3.5289097E+002, 3.4498809E+002, 3.2170667E+002, 2.2445506E+002, 4.7618410E+002, 2.1394049E+002, 2.3305060E+002, 2.4648179E+002, 2.6027222E+002, 2.5099378E+002, 6.7416880E+000, 3.7171794E+000, 1.3175645E+001, 1.1363155E+001, 9.9614812E+000, 8.1714644E+000, 5.4855671E+000, 5.4144526E+000, 5.4145221E+000, 5.5080517E+000, 8.3741525E+002, 8.5819255E+002, 8.8573624E+002, 8.9197027E+002, 8.8602101E+002, 6.7843273E+002, 7.5637158E+002, 8.4276620E+002, 8.5825845E+002, 8.5494188E+002
 1.4000187E+002, 4.0643541E+002, 1.0445912E+002, 1.0146675E+002, 9.8866783E+001, 1.1353183E+002, 5.2479303E+002, 3.9838426E+002, 3.8946526E+002, 3.7275801E+002, 3.4221949E+002, 2.3069538E+002, 4.9001547E+002, 2.1791957E+002, 2.3620940E+002, 2.5106555E+002, 2.6672761E+002, 2.5093233E+002, 6.7615900E+000, 3.9333048E+000, 1.5150742E+001, 1.3164190E+001, 1.1346477E+001, 9.2517457E+000, 6.1753229E+000, 5.9752481E+000, 5.9631915E+000, 6.0475307E+000, 8.5398633E+002, 8.7424781E+002, 9.0088964E+002, 9.0536403E+002, 8.9972546E+002, 7.1260846E+002, 7.8352455E+002, 8.6256140E+002, 8.7869987E+002, 8.7640509E+002
 1.5000037E+002, 4.1970623E+002, 1.1238570E+002, 1.1190391E+002, 1.0810055E+002, 1.1519613E+002, 5.3012363E+002, 4.0378536E+002, 3.9040015E+002, 3.7035295E+002, 3.3682988E+002, 2.2760220E+002, 4.9797038E+002, 2.2070625E+002, 2.3765167E+002, 2.5424298E+002, 2.7331003E+002, 2.5543670E+002, 6.5908938E+000, 3.8013046E+000, 1.3656894E+001, 1.1631504E+001, 1.0048704E+001, 7.9343952E+000, 5.9597875E+000, 5.7253811E+000, 5.7503824E+000, 5.9491781E+000, 8.6226148E+002, 8.8189440E+002, 9.0976280E+002, 9.1545747E+002, 9.1093650E+002, 7.1348054E+002, 7.6417001E+002, 8.7346314E+002, 8.9236055E+002, 8.9096614E+002
 1.6000246E+002, 4.4009381E+002, 1.2024249E+002, 1.1990941E+002, 1.1754083E+002, 1.2010580E+002, 5.4288554E+002, 4.0539368E+002, 3.9141954E+002, 3.7162561E+002, 3.3571650E+002, 2.2558321E+002, 5.1008905E+002, 2.1729211E+002, 2.3425886E+002, 2.5014714E+002, 2.6581578E+002, 2.4359092E+002, 8.2210106E+000, 5.0474833E+000, 1.6771096E+001, 1.4444651E+001, 1.2451896E+001, 1.0171537E+001, 6.2449238E+000, 5.9259289E+000, 5.7843437E+000, 5.5488267E+000, 8.7842067E+002, 8.9780935E+002, 9.2300267E+002, 9.2725728E+002, 9.2271707E+002, 7.3007806E+002, 7.9077039E+002, 8.8902511E+002, 9.0807695E+002, 9.0750199E+002
 1.7000114E+002, 4.3631587E+002, 1.2863374E+002, 1.3027724E+002, 1.3031415E+002, 1.2098396E+002, 5.6717439E+002, 4.4290575E+002, 4.2007716E+002, 3.8815786E+002, 3.5040953E+002, 2.3225599E+002, 5.2138320E+002, 2.0934644E+002, 2.2209216E+002, 2.3417345E+002, 2.4905993E+002, 2.3371763E+002, 8.2384750E+000, 4.7439348E+000, 1.8023490E+001, 1.5237587E+001, 1.2813857E+001, 9.9627369E+000, 6.1667098E+000, 5.6964364E+000, 5.5364136E+000, 5.4884559E+000, 8.9657991E+002, 9.1586893E+002, 9.4074641E+002, 9.4648584E+002, 9.4169860E+002, 7.4703135E+002, 7.8598781E+002, 8.9757958E+002, 9.1680943E+002, 9.1608688E+002
 1.8000027E+002, 4.5072610E+002, 1.3159862E+002, 1.2956242E+002, 1.3131165E+002, 1.2901737E+002, 5.7482188E+002, 4.5635497E+002, 4.3261682E+002, 4.0312282E+002, 3.6241795E+002, 2.4070273E+002, 5.2611881E+002, 2.2186555E+002, 2.3576349E+002, 2.5182207E+002, 2.6740682E+002, 2.5001408E+002, 7.3252451E+000, 4.1445079E+000, 1.5487209E+001, 1.3497577E+001, 1.1759162E+001, 9.4004975E+000, 6.6968925E+000, 6.4289175E+000, 6.4738065E+000, 6.5906039E+000, 8.9874426E+002, 9.1597472E+002, 9.3948746E+002, 9.4459619E+002, 9.4042256E+002, 7.6016281E+002, 8.0150210E+002, 9.0997223E+002, 9.3266419E+002, 9.3212579E+002
 1.9000147E+002, 4.3799411E+002, 1.3009104E+002, 1.2571179E+002, 1.2314996E+002, 1.3353163E+002, 5.9803669E+002, 4.6036347E+002, 4.3339050E+002, 4.0764204E+002, 3.6529981E+002, 2.5012503E+002, 5.2638308E+002, 2.3875996E+002, 2.5597757E+002, 2.7684848E+002, 2.9775716E+002, 2.7117864E+002, 8.2916982E+000, 4.6416207E+000, 1.9433892E+001, 1.6120938E+001, 1.3703195E+001, 1.0649360E+001, 7.4821130E+000, 7.4054356E+000, 7.5490770E+000, 7.8711575E+000, 9.0449686E+002, 9.2375814E+002, 9.4840536E+002, 9.5332218E+002, 9.4791791E+002, 7.8229587E+002, 8.2429894E+002, 9.2743873E+002, 9.4706725E+002, 9.4618015E+002
 2.0000211E+002, 4.6425934E+002, 1.4880535E+002, 1.4056523E+002, 1.3592503E+002, 1.2905993E+002, 6.2233847E+002, 4.9430307E+002, 4.6920164E+002, 4.4293613E+002, 3.9695136E+002, 2.7506337E+002, 5.3522660E+002, 2.4317179E+002, 2.6167544E+002, 2.7956226E+002, 2.9731775E+002, 2.7776092E+002, 1.1187541E+001, 6.5599454E+000, 2.1751167E+001, 1.8556200E+001, 1.5969006E+001, 1.2916586E+001, 7.0991870E+000, 6.6853225E+000, 6.4913282E+000, 6.2595801E+000, 9.1325585E+002, 9.3052779E+002, 9.5307447E+002, 9.5783561E+002, 9.5294097E+002, 7.9862541E+002, 8.3563638E+002, 9.2890397E+002, 9.5047619E+002, 9.4995841E+002
 2.1000148E+002, 4.8174081E+002, 1.4751435E+002, 1.3875951E+002, 1.3569173E+002, 1.2921851E+002, 6.1925587E+002, 4.8897822E+002, 4.6651072E+002, 4.4456129E+002, 4.0528709E+002, 2.7462077E+002, 5.3761089E+002, 2.3824134E+002, 2.5566341E+002, 2.7028317E+002, 2.8551259E+002, 2.7829886E+002, 8.5384832E+000, 4.9605519E+000, 1.7240614E+001, 1.5144477E+001, 1.3492477E+001, 1.1046418E+001, 6.8197539E+000, 6.5337491E+000, 6.4138407E+000, 6.4193675E+000, 9.1910140E+002, 9.3260749E+002, 9.5443030E+002, 9.5885584E+002, 9.5503906E+002, 7.9205841E+002, 8.3200653E+002, 9.3422025E+002, 9.5690291E+002, 9.5666566E+002
 2.2000107E+002, 4.7275602E+002, 1.4756822E+002, 1.4049507E+002, 1.3970884E+002, 1.3018447E+002, 6.2410644E+002, 5.0513912E+002, 4.7818077E+002, 4.5332937E+002, 4.1908434E+002, 2.8535811E+002, 5.4583324E+002, 2.2866551E+002, 2.4429824E+002, 2.5828567E+002, 2.7516661E+002, 2.7114804E+002, 9.9888054E+000, 5.8839995E+000, 2.2514138E+001, 1.9161958E+001, 1.6254075E+001, 1.3319577E+001, 7.1084103E+000, 6.7830631E+000, 6.6583505E+000, 6.6047489E+000, 9.2129036E+002, 9.3758115E+002, 9.5996337E+002, 9.6461871E+002, 9.6142107E+002, 8.2138815E+002, 8.6110910E+002, 9.5066835E+002, 9.7135192E+002, 9.7111114E+002
 2.3000286E+002, 4.9274411E+002, 1.4579183E+002, 1.3884518E+002, 1.3604739E+002, 1.2396869E+002, 6.5460015E+002, 5.2994674E+002, 4.9589897E+002, 4.6210096E+002, 4.2402882E+002, 2.8602418E+002, 5.5167232E+002, 2.2578720E+002, 2.4057666E+002, 2.5478109E+002, 2.7069894E+002, 2.6226939E+002, 9.0735857E+000, 5.1210230E+000, 2.4886563E+001, 2.0750443E+001, 1.7271095E+001, 1.3155840E+001, 7.2437482E+000, 6.7302134E+000, 6.5470437E+000, 6.3425891E+000, 9.2370873E+002, 9.4010949E+002, 9.6272858E+002, 9.6899654E+002, 9.6568795E+002, 8.1877710E+002, 8.5332748E+002, 9.5805665E+002, 9.7910235E+002, 9.7883418E+002
 2.4000231E+002, 5.0468275E+002, 1.4737978E+002, 1.3839922E+002, 1.3549224E+002, 1.1885215E+002, 6.7334089E+002, 5.3731064E+002, 4.9823133E+002, 4.6407623E+002, 4.1860755E+002, 2.6695703E+002, 5.5026888E+002, 2.3229472E+002, 2.4992031E+002, 2.6877820E+002, 2.8937372E+002, 2.7354238E+002, 9.2206392E+000, 5.2169939E+000, 2.4360312E+001, 2.0664577E+001, 1.7544107E+001, 1.3636910E+001, 8.6087569E+000, 8.3803914E+000, 8.5261363E+000, 8.8795323E+000, 9.3272158E+002, 9.4874036E+002, 9.7098928E+002, 9.7610284E+002, 9.7248550E+002, 8.2955108E+002, 8.7926648E+002, 9.6670482E+002, 9.8537962E+002, 9.8500312E+002
 2.5000173E+002, 5.0979840E+002, 1.4611204E+002, 1.3957819E+002, 1.3213014E+002, 1.1588025E+002, 6.6800871E+002, 5.2958961E+002, 5.0048275E+002, 4.7190073E+002, 4.2688213E+002, 2.6108860E+002, 5.5455791E+002, 2.4546406E+002, 2.6527571E+002, 2.8660010E+002, 3.1572475E+002, 3.0955621E+002, 8.7857748E+000, 4.7537382E+000, 2.0103060E+001, 1.7507524E+001, 1.5341437E+001, 1.2385504E+001, 8.0680327E+000, 7.6917309E+000, 7.6449411E+000, 7.8890068E+000, 9.4559331E+002, 9.6138763E+002, 9.8336295E+002, 9.8727950E+002, 9.8326506E+002, 8.3405367E+002, 8.6946340E+002, 9.7316613E+002, 9.9294950E+002, 9.9312236E+002
 2.6000166E+002, 5.0793777E+002, 1.4796887E+002, 1.3855291E+002, 1.3079045E+002, 1.1966177E+002, 6.3786920E+002, 5.0435742E+002, 4.8186317E+002, 4.5894442E+002, 4.1913484E+002, 2.5914328E+002, 5.5425975E+002, 2.5115374E+002, 2.6904354E+002, 2.8739558E+002, 3.1070303E+002, 3.0048651E+002, 9.8019087E+000, 5.5274500E+000, 1.8421941E+001, 1.5951735E+001, 1.3952503E+001, 1.1218926E+001, 7.8303461E+000, 7.5109442E+000, 7.4328534E+000, 7.4168815E+000, 9.5836254E+002, 9.7353194E+002, 9.9579116E+002, 1.0018052E+003, 9.9645728E+002, 8.4174146E+002, 8.6974691E+002, 9.7844189E+002, 1.0051947E+003, 1.0058063E+003
 2.7000158E+002, 4.9444129E+002, 1.4928199E+002, 1.3829445E+002, 1.3183251E+002, 1.2678538E+002, 6.2555049E+002, 4.7979787E+002, 4.5477696E+002, 4.2965121E+002, 3.8964950E+002, 2.4879089E+002, 5.6235882E+002, 2.5655964E+002, 2.7157359E+002, 2.8883901E+002, 3.0784978E+002, 2.8376215E+002, 1.1217457E+001, 6.2904175E+000, 1.9356691E+001, 1.6025884E+001, 1.3892103E+001, 1.1442849E+001, 7.5396449E+000, 7.0060323E+000, 6.7864086E+000, 6.5480779E+000, 9.6812224E+002, 9.8346299E+002, 1.0056395E+003, 1.0111464E+003, 1.0081244E+003, 8.4769465E+002, 9.0476653E+002, 9.9260718E+002, 1.0152479E+003, 1.0159976E+003
 2.8000024E+002, 5.1400331E+002, 1.5782284E+002, 1.4748798E+002, 1.3996000E+002, 1.3526571E+002, 6.6447971E+002, 4.9206245E+002, 4.6311368E+002, 4.3932803E+002, 4.0538612E+002, 2.6957097E+002, 5.6456270E+002, 2.4223188E+002, 2.5136986E+002, 2.6087728E+002, 2.7048422E+002, 2.4736686E+002, 1.0145950E+001, 5.9607933E+000, 2.3220446E+001, 2.0142070E+001, 1.7320319E+001, 1.3640253E+001, 7.3848333E+000, 6.8240846E+000, 6.4835559E+000, 6.0879232E+000, 9.7408009E+002, 9.8910350E+002, 1.0120472E+003, 1.0175508E+003, 1.0138460E+003, 8.6904599E+002, 9.1479961E+002, 1.0013831E+003, 1.0258254E+003, 1.0262437E+003
 2.9000021E+002, 5.2895181E+002, 1.5667692E+002, 1.4966481E+002, 1.3968200E+002, 1.3048938E+002, 6.8130312E+002, 5.3049372E+002, 4.9699413E+002, 4.6302467E+002, 4.1514166E+002, 2.8676894E+002, 5.6892336E+002, 2.4594961E+002, 2.5607179E+002, 2.6683793E+002, 2.7981293E+002, 2.6078302E+002, 1.0124639E+001, 5.5891648E+000, 2.3053184E+001, 1.9286651E+001, 1.6171096E+001, 1.2553606E+001, 8.2140655E+000, 7.7196223E+000, 7.4827045E+000, 7.3853052E+000, 9.7820018E+002, 9.9302533E+002, 1.0139246E+003, 1.0198542E+003, 1.0171535E+003, 8.6806463E+002, 8.9955726E+002, 1.0079775E+003, 1.0297755E+003, 1.0305074E+003
 3.0000181E+002, 5.3194260E+002, 1.5213773E+002, 1.4187958E+002, 1.3091279E+002, 1.3041827E+002, 6.6472329E+002, 5.1187305E+002, 4.7420807E+002, 4.3667317E+002, 3.8625368E+002, 2.6666550E+002, 5.7764189E+002, 2.4824137E+002, 2.6042492E+002, 2.6982925E+002, 2.8196133E+002, 2.6833053E+002, 1.0156961E+001, 5.6518656E+000, 2.1922981E+001, 1.7939695E+001, 1.4793502E+001, 1.1027596E+001, 8.1863291E+000, 7.6581040E+000, 7.4006611E+000, 7.2060892E+000, 9.8975505E+002, 1.0030644E+003, 1.0239342E+003, 1.0293965E+003, 1.0262888E+003, 8.7543132E+002, 9.0185049E+002, 1.0046115E+003, 1.0369163E+003, 1.0383140E+003
 3.1000090E+002, 5.1554120E+002, 1.6186022E+002, 1.4749906E+002, 1.3752425E+002, 1.2889837E+002, 6.9017672E+002, 5.4850983E+002, 5.0415637E+002, 4.6302669E+002, 4.0509572E+002, 2.6758007E+002, 5.7784145E+002, 2.5202597E+002, 2.6128069E+002, 2.7132580E+002, 2.8767636E+002, 2.8068385E+002, 9.0935415E+000, 5.2482387E+000, 2.7847956E+001, 2.2908251E+001, 1.8665281E+001, 1.3498532E+001, 8.2123488E+000, 7.6181958E+000, 7.2734736E+000, 7.0316039E+000, 9.9612812E+002, 1.0095570E+003, 1.0216361E+003, 1.0247092E+003, 1.0219691E+003, 8.4870985E+002, 8.9051104E+002, 1.0062127E+003, 1.0286221E+003, 1.0299368E+003
