s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C
 9.0005576E+001, 3.3131422E+001, 3.7541326E+001, 3.8330328E+001, 4.0086172E+001, 4.9067329E+001, 1.6870813E+002, 1.6380169E+002, 1.5421323E+002, 1.4422654E+002, 1.2908839E+002, 8.8669399E+001, 1.3856315E+002, 1.1325320E+002, 1.1476033E+002, 1.1406666E+002, 1.0951835E+002, 8.8289224E+001, 1.2298695E-001, 1.0633792E-001, 1.8754255E+000, 1.8872123E+000, 1.8421672E+000, 1.6891841E+000, 9.4591395E-001, 1.0582938E+000, 1.1132713E+000, 1.1179943E+000, 3.7703636E+002, 3.9255151E+002, 4.0449360E+002, 4.0533374E+002, 4.0098704E+002, 3.3170942E+002, 3.4832913E+002, 3.5967063E+002, 3.5645369E+002, 3.4741968E+002
 1.0000526E+002, 3.4085353E+001, 3.7770895E+001, 3.8819416E+001, 4.1147113E+001, 5.1890170E+001, 1.8536710E+002, 1.7765948E+002, 1.6666283E+002, 1.5646650E+002, 1.4050542E+002, 9.7157959E+001, 1.5720651E+002, 1.2595116E+002, 1.2678947E+002, 1.2403938E+002, 1.1715214E+002, 9.3803280E+001, 1.4304760E-001, 1.3880558E-001, 1.9722739E+000, 1.9056455E+000, 1.8373109E+000, 1.7038839E+000, 1.3546500E+000, 1.4167224E+000, 1.4108967E+000, 1.3520738E+000, 4.0766779E+002, 4.2578728E+002, 4.4911148E+002, 4.5400621E+002, 4.4857465E+002, 3.6713968E+002, 3.8079023E+002, 3.9009897E+002, 3.8683944E+002, 3.7954290E+002
 1.1000275E+002, 3.4911358E+001, 3.8704616E+001, 4.0067781E+001, 4.2415861E+001, 5.3963491E+001, 1.9737754E+002, 1.8594281E+002, 1.7339672E+002, 1.6253756E+002, 1.4638287E+002, 1.0530861E+002, 1.7307245E+002, 1.3067024E+002, 1.3174997E+002, 1.2966825E+002, 1.2419090E+002, 1.0320551E+002, 1.5321520E-001, 1.3654296E-001, 2.0070289E+000, 1.9941675E+000, 1.9442424E+000, 1.7712870E+000, 9.1308172E-001, 1.0144191E+000, 1.1073898E+000, 1.2229672E+000, 4.1997382E+002, 4.5351712E+002, 4.8469632E+002, 4.9491937E+002, 4.9194223E+002, 3.9632685E+002, 4.1166343E+002, 4.2505334E+002, 4.2342632E+002, 4.1412109E+002
 1.2000332E+002, 3.5434945E+001, 3.8782631E+001, 4.0028614E+001, 4.2626851E+001, 5.5954445E+001, 2.0044796E+002, 1.9059792E+002, 1.7824957E+002, 1.6685459E+002, 1.4854055E+002, 1.0441780E+002, 1.5866789E+002, 1.2310749E+002, 1.2541745E+002, 1.2492483E+002, 1.2178384E+002, 1.0326255E+002, 1.4187844E-001, 1.2590796E-001, 1.8592050E+000, 1.8508338E+000, 1.8024756E+000, 1.6839731E+000, 8.4795404E-001, 9.5085851E-001, 1.0214061E+000, 1.0935141E+000, 4.4305593E+002, 4.9360552E+002, 5.0680618E+002, 5.1272472E+002, 5.1195649E+002, 4.0809000E+002, 4.2996315E+002, 4.4466453E+002, 4.4381168E+002, 4.3514478E+002
 1.3000095E+002, 3.5774839E+001, 3.8984952E+001, 4.0187517E+001, 4.2137080E+001, 5.4077874E+001, 2.0452128E+002, 1.9327089E+002, 1.8087802E+002, 1.6944134E+002, 1.5189915E+002, 1.0857283E+002, 1.5756785E+002, 1.1801081E+002, 1.2081740E+002, 1.2103632E+002, 1.1872367E+002, 1.0096227E+002, 1.4562570E-001, 9.9804061E-002, 2.0265612E+000, 1.9738890E+000, 1.8837445E+000, 1.7246087E+000, 9.4650093E-001, 1.0282383E+000, 1.1077612E+000, 1.1947016E+000, 4.4452610E+002, 4.7376189E+002, 5.1468061E+002, 5.2352957E+002, 5.2495534E+002, 4.3889375E+002, 4.5904681E+002, 4.7263870E+002, 4.7173746E+002, 4.6322487E+002
 1.4000374E+002, 3.6249131E+001, 3.8678121E+001, 4.0196826E+001, 4.2217272E+001, 5.2513229E+001, 2.0726171E+002, 1.9643617E+002, 1.8298843E+002, 1.7062904E+002, 1.5215285E+002, 1.0594427E+002, 1.5930532E+002, 1.1825548E+002, 1.2150584E+002, 1.2286376E+002, 1.2082925E+002, 1.0358945E+002, 1.4983533E-001, 1.4739682E-001, 2.1347337E+000, 2.0853671E+000, 1.9968487E+000, 1.7903417E+000, 9.2735857E-001, 1.0116154E+000, 1.0853886E+000, 1.1171421E+000, 4.7910104E+002, 5.4415451E+002, 5.4735046E+002, 5.4452404E+002, 5.4490741E+002, 4.5799905E+002, 4.7808009E+002, 4.9532932E+002, 4.9407057E+002, 4.8566652E+002
 1.5000474E+002, 3.6659740E+001, 3.8450296E+001, 4.0135364E+001, 4.3078930E+001, 5.3008321E+001, 2.0834730E+002, 1.9924906E+002, 1.8428922E+002, 1.7090556E+002, 1.5143157E+002, 1.0362543E+002, 1.4862043E+002, 1.1700853E+002, 1.2053951E+002, 1.2189083E+002, 1.1889079E+002, 1.0341306E+002, 1.6211225E-001, 1.5252527E-001, 2.2522172E+000, 2.1237014E+000, 1.9835645E+000, 1.7860609E+000, 1.0786391E+000, 1.2120127E+000, 1.3183941E+000, 1.3627383E+000, 5.0357726E+002, 5.7009467E+002, 5.7659659E+002, 5.6584721E+002, 5.6520036E+002, 4.4603766E+002, 4.8046990E+002, 5.0204600E+002, 5.0277703E+002, 4.9655183E+002
 1.6000081E+002, 3.7990044E+001, 3.8532028E+001, 4.0463871E+001, 4.3776737E+001, 5.3445478E+001, 2.1786656E+002, 2.0748552E+002, 1.9163935E+002, 1.7717908E+002, 1.5711609E+002, 1.0704758E+002, 1.4817556E+002, 1.1862596E+002, 1.2426470E+002, 1.2697947E+002, 1.2513557E+002, 1.0357984E+002, 1.6574240E-001, 1.4777024E-001, 2.3199640E+000, 2.2463438E+000, 2.1574981E+000, 1.9762870E+000, 9.9536192E-001, 1.1309319E+000, 1.2474654E+000, 1.3673683E+000, 5.0376900E+002, 5.5440986E+002, 6.1624675E+002, 5.8420611E+002, 5.7640896E+002, 4.6175016E+002, 4.9332484E+002, 5.1285677E+002, 5.1233680E+002, 5.0727965E+002
 1.7000216E+002, 3.8629759E+001, 3.8728436E+001, 4.0822833E+001, 4.4520269E+001, 5.5787474E+001, 2.2347474E+002, 2.0805446E+002, 1.9221328E+002, 1.7787552E+002, 1.5968262E+002, 1.0867702E+002, 1.6915239E+002, 1.3138641E+002, 1.3735709E+002, 1.3983272E+002, 1.3701430E+002, 1.1399773E+002, 1.7183784E-001, 1.7850133E-001, 1.9682650E+000, 1.9284097E+000, 1.8439657E+000, 1.7544715E+000, 1.7165331E+000, 1.8442181E+000, 1.9369241E+000, 1.9770626E+000, 5.0951280E+002, 5.5191049E+002, 5.9909825E+002, 5.9073553E+002, 5.8958498E+002, 4.6434345E+002, 4.9810790E+002, 5.1516378E+002, 5.1627269E+002, 5.1170386E+002
 1.8000210E+002, 3.8852020E+001, 3.8419969E+001, 4.1411645E+001, 4.4982234E+001, 5.7120820E+001, 2.1701794E+002, 2.0108581E+002, 1.8727410E+002, 1.7438554E+002, 1.5753199E+002, 1.0578117E+002, 1.9068748E+002, 1.4159137E+002, 1.4735363E+002, 1.4969598E+002, 1.4746001E+002, 1.1934143E+002, 1.7000819E-001, 1.4076837E-001, 2.2218838E+000, 2.2019252E+000, 2.1308682E+000, 1.9864554E+000, 1.1703065E+000, 1.2927220E+000, 1.4039991E+000, 1.5462273E+000, 5.1611638E+002, 5.5015750E+002, 6.1446548E+002, 6.0225099E+002, 6.0236314E+002, 4.8792857E+002, 5.1221817E+002, 5.3001541E+002, 5.3023706E+002, 5.2436870E+002
 1.9000462E+002, 3.9450178E+001, 3.8003585E+001, 4.0721622E+001, 4.4122225E+001, 5.5204398E+001, 2.1485918E+002, 2.0216940E+002, 1.8957322E+002, 1.7794348E+002, 1.6187188E+002, 1.0985725E+002, 2.0043807E+002, 1.4101347E+002, 1.4648988E+002, 1.4917831E+002, 1.4785555E+002, 1.2203048E+002, 1.7588504E-001, 1.3670631E-001, 1.9613030E+000, 1.9294044E+000, 1.8960273E+000, 1.7978388E+000, 1.5238701E+000, 1.6791132E+000, 1.8062280E+000, 1.9067438E+000, 5.4772459E+002, 5.9676267E+002, 6.2422467E+002, 6.1808702E+002, 6.2068607E+002, 4.9079037E+002, 5.1631981E+002, 5.3319765E+002, 5.3262619E+002, 5.2748924E+002
 2.0000107E+002, 3.9644310E+001, 3.9245027E+001, 4.1616195E+001, 4.4595988E+001, 5.4780994E+001, 2.2148485E+002, 2.0538897E+002, 1.9261749E+002, 1.8096531E+002, 1.6316194E+002, 1.0785613E+002, 1.9627083E+002, 1.4711164E+002, 1.5294316E+002, 1.5453517E+002, 1.5213607E+002, 1.2665882E+002, 2.1733637E-001, 1.9305964E-001, 2.2604829E+000, 2.2148450E+000, 2.1326631E+000, 1.9424819E+000, 1.3610571E+000, 1.5110540E+000, 1.5923331E+000, 1.6733778E+000, 5.9074191E+002, 6.6061567E+002, 6.3795664E+002, 6.3327993E+002, 6.3595631E+002, 4.4235075E+002, 5.0420685E+002, 5.2894563E+002, 5.3279742E+002, 5.2876089E+002
 2.1000366E+002, 3.9592392E+001, 4.1471675E+001, 4.4560208E+001, 4.7050367E+001, 5.4968922E+001, 2.1737765E+002, 2.0488605E+002, 1.9173345E+002, 1.7939799E+002, 1.6037376E+002, 1.0701339E+002, 1.9318118E+002, 1.4331037E+002, 1.5053797E+002, 1.5343126E+002, 1.5137648E+002, 1.2667434E+002, 2.3281310E-001, 2.2107528E-001, 2.0854672E+000, 2.0023443E+000, 1.8967422E+000, 1.7245335E+000, 1.2717856E+000, 1.4646355E+000, 1.6615437E+000, 1.8327649E+000, 6.0789570E+002, 6.5433606E+002, 6.4601857E+002, 6.4771558E+002, 6.5034294E+002, 4.6636980E+002, 5.1365556E+002, 5.3479250E+002, 5.3795130E+002, 5.3360351E+002
 2.2000479E+002, 3.9692304E+001, 4.2140066E+001, 4.4881719E+001, 4.7077586E+001, 5.4861061E+001, 2.1976065E+002, 2.0326546E+002, 1.8762871E+002, 1.7404247E+002, 1.5583902E+002, 1.0581048E+002, 1.7565915E+002, 1.3472383E+002, 1.4292641E+002, 1.4684276E+002, 1.4501229E+002, 1.1879384E+002, 1.9757487E-001, 1.5074066E-001, 2.1159273E+000, 2.0299482E+000, 1.9445554E+000, 1.8140164E+000, 9.1432967E-001, 1.0316115E+000, 1.1421400E+000, 1.2006966E+000, 6.5347622E+002, 6.8397928E+002, 6.5536329E+002, 6.5774543E+002, 6.5840057E+002, 4.7160485E+002, 5.1469757E+002, 5.3635468E+002, 5.3954255E+002, 5.3659257E+002
 2.3000068E+002, 4.0002176E+001, 4.0798883E+001, 4.3359807E+001, 4.5300934E+001, 5.2710627E+001, 2.2229233E+002, 1.9938213E+002, 1.8460936E+002, 1.7262998E+002, 1.5561431E+002, 1.0999093E+002, 1.6215200E+002, 1.2698793E+002, 1.3351330E+002, 1.3630496E+002, 1.3382048E+002, 1.1168478E+002, 1.6664949E-001, 1.2836681E-001, 2.0911604E+000, 1.9808690E+000, 1.8894928E+000, 1.7274135E+000, 1.0853612E+000, 1.2009296E+000, 1.2984311E+000, 1.3765822E+000, 6.8042910E+002, 7.1558014E+002, 6.7342636E+002, 6.6550774E+002, 6.6409136E+002, 4.8011095E+002, 5.2219506E+002, 5.4220015E+002, 5.4579739E+002, 5.4220444E+002
 2.4000338E+002, 4.0552082E+001, 4.0493805E+001, 4.2400916E+001, 4.4864335E+001, 5.3749797E+001, 2.2963164E+002, 2.0513651E+002, 1.8990541E+002, 1.7637160E+002, 1.5667350E+002, 1.0979117E+002, 1.6378312E+002, 1.2727584E+002, 1.3381206E+002, 1.3693949E+002, 1.3537238E+002, 1.1301070E+002, 2.1198038E-001, 1.5970532E-001, 2.4591254E+000, 2.4286228E+000, 2.3335798E+000, 2.0634584E+000, 1.3128373E+000, 1.4405242E+000, 1.5434932E+000, 1.6262739E+000, 6.2781039E+002, 6.7894678E+002, 6.8123356E+002, 6.6340232E+002, 6.6112894E+002, 4.9589001E+002, 5.3216821E+002, 5.5449525E+002, 5.5727454E+002, 5.5285365E+002
 2.5000209E+002, 4.0876974E+001, 4.0258328E+001, 4.1867672E+001, 4.4189678E+001, 5.6494752E+001, 2.2383400E+002, 2.0723305E+002, 1.9272703E+002, 1.7887010E+002, 1.5772653E+002, 1.0900676E+002, 1.8590876E+002, 1.3843689E+002, 1.4709398E+002, 1.5106480E+002, 1.4762627E+002, 1.1929143E+002, 2.0695360E-001, 1.6124878E-001, 2.0177179E+000, 1.9532948E+000, 1.8350011E+000, 1.6252078E+000, 1.6338865E+000, 1.8350802E+000, 2.0171857E+000, 2.1319416E+000, 6.1139297E+002, 6.4450940E+002, 6.7844784E+002, 6.6321988E+002, 6.6410729E+002, 4.9626808E+002, 5.3886413E+002, 5.6294607E+002, 5.6538367E+002, 5.6101920E+002
 2.6000367E+002, 4.0871112E+001, 4.1730473E+001, 4.4506251E+001, 4.7247460E+001, 5.8266459E+001, 2.1980585E+002, 2.0310490E+002, 1.8835855E+002, 1.7430818E+002, 1.5398111E+002, 1.0703254E+002, 2.0733140E+002, 1.4626484E+002, 1.5596646E+002, 1.6111845E+002, 1.5840553E+002, 1.2620455E+002, 2.3282974E-001, 2.3672506E-001, 2.2180247E+000, 2.1449222E+000, 2.0453741E+000, 1.8453532E+000, 1.6079555E+000, 1.7468597E+000, 1.8673079E+000, 1.9952326E+000, 6.1272394E+002, 6.4207201E+002, 6.8601114E+002, 6.6670665E+002, 6.6641587E+002, 5.0149255E+002, 5.4880330E+002, 5.7103257E+002, 5.7427493E+002, 5.6959022E+002
 2.7000228E+002, 4.1146196E+001, 4.0909839E+001, 4.3783184E+001, 4.7292508E+001, 5.8101228E+001, 2.2344212E+002, 2.0756024E+002, 1.9281586E+002, 1.7887026E+002, 1.5792422E+002, 1.0912864E+002, 2.1460676E+002, 1.4576022E+002, 1.5326791E+002, 1.5780892E+002, 1.5741516E+002, 1.3087456E+002, 1.8189143E-001, 1.4085856E-001, 2.2936650E+000, 2.2462542E+000, 2.1133209E+000, 1.8322448E+000, 1.3104736E+000, 1.4351241E+000, 1.5738219E+000, 1.7326437E+000, 6.0948506E+002, 6.3224176E+002, 6.7999078E+002, 6.7010579E+002, 6.6919881E+002, 5.2342989E+002, 5.5747377E+002, 5.7951573E+002, 5.8339597E+002, 5.7918938E+002
 2.8000387E+002, 4.1967138E+001, 4.0132860E+001, 4.2173781E+001, 4.5118316E+001, 5.8107159E+001, 2.2649950E+002, 2.0884011E+002, 1.9353489E+002, 1.7868801E+002, 1.5585835E+002, 1.0650170E+002, 2.1172917E+002, 1.4370891E+002, 1.5034011E+002, 1.5455809E+002, 1.5566577E+002, 1.3167460E+002, 1.9744876E-001, 1.2963611E-001, 2.2957645E+000, 2.2183431E+000, 2.1260946E+000, 1.9341086E+000, 1.3965579E+000, 1.5286512E+000, 1.6663610E+000, 1.8605966E+000, 6.2302798E+002, 6.6007808E+002, 6.9901166E+002, 6.7651638E+002, 6.7381512E+002, 5.0773672E+002, 5.5224037E+002, 5.8256256E+002, 5.8581288E+002, 5.8284237E+002
 2.9000414E+002, 4.2087159E+001, 3.9539325E+001, 4.0932224E+001, 4.3178885E+001, 5.5183935E+001, 2.2600423E+002, 2.0680072E+002, 1.9163174E+002, 1.7825284E+002, 1.5917172E+002, 1.1062729E+002, 2.0306497E+002, 1.3846539E+002, 1.4563045E+002, 1.5089371E+002, 1.5353532E+002, 1.2812278E+002, 1.8662979E-001, 1.2096529E-001, 2.2950100E+000, 2.1635814E+000, 2.0425540E+000, 1.9100890E+000, 1.3218696E+000, 1.4075346E+000, 1.5307394E+000, 1.7230178E+000, 6.4173281E+002, 6.8949750E+002, 7.0739941E+002, 6.8536550E+002, 6.8000877E+002, 5.3016142E+002, 5.6616050E+002, 5.8840008E+002, 5.9188791E+002, 5.8886879E+002
 3.0000036E+002, 4.2812507E+001, 4.0423160E+001, 4.1466937E+001, 4.3050177E+001, 5.4542602E+001, 2.3691806E+002, 2.1542112E+002, 1.9810816E+002, 1.8372710E+002, 1.6389481E+002, 1.1425072E+002, 1.9923309E+002, 1.3696726E+002, 1.4408142E+002, 1.4876097E+002, 1.5177387E+002, 1.3284383E+002, 2.2624839E-001, 1.7789801E-001, 2.6692323E+000, 2.5381668E+000, 2.4059781E+000, 2.1449004E+000, 1.3010449E+000, 1.4442309E+000, 1.5596707E+000, 1.7121082E+000, 6.4209856E+002, 6.7880857E+002, 7.2736302E+002, 7.1864038E+002, 7.1304313E+002, 5.1850413E+002, 5.6367353E+002, 5.8765498E+002, 5.9071198E+002, 5.8764250E+002
 3.1000336E+002, 4.3581532E+001, 4.0878694E+001, 4.2390206E+001, 4.3679863E+001, 5.4829353E+001, 2.5037349E+002, 2.2643193E+002, 2.0853759E+002, 1.9277844E+002, 1.6776613E+002, 1.1412681E+002, 1.9328002E+002, 1.4010531E+002, 1.4732282E+002, 1.5087196E+002, 1.5080263E+002, 1.2982157E+002, 1.8387323E-001, 1.4208814E-001, 2.5475968E+000, 2.4719104E+000, 2.3271863E+000, 1.9737502E+000, 1.5195574E+000, 1.6856690E+000, 1.8038090E+000, 1.8471674E+000, 6.3686227E+002, 6.6793609E+002, 7.3562378E+002, 7.3468994E+002, 7.2364034E+002, 5.1174185E+002, 5.6116232E+002, 5.8943887E+002, 5.9217193E+002, 5.8928061E+002
 3.2000530E+002, 4.3349321E+001, 4.1457985E+001, 4.2601117E+001, 4.3355740E+001, 5.3094403E+001, 2.5523200E+002, 2.2486476E+002, 2.0838323E+002, 1.9237328E+002, 1.6714970E+002, 1.1153039E+002, 1.7387521E+002, 1.3786709E+002, 1.4462243E+002, 1.4733886E+002, 1.4613253E+002, 1.2455200E+002, 1.4318731E-001, 1.1476742E-001, 2.1898955E+000, 2.1655627E+000, 2.1014737E+000, 1.9442164E+000, 9.4242976E-001, 1.0481528E+000, 1.1439557E+000, 1.2605563E+000, 5.8514585E+002, 6.0528853E+002, 6.4597288E+002, 6.5944090E+002, 6.6014594E+002, 4.8843692E+002, 5.4457446E+002, 5.7315861E+002, 5.7727935E+002, 5.7443005E+002
 3.3000044E+002, 4.3501897E+001, 4.2339258E+001, 4.3580834E+001, 4.3616417E+001, 5.0817449E+001, 2.5937060E+002, 2.1107622E+002, 1.9509644E+002, 1.7978433E+002, 1.5756006E+002, 1.0658730E+002, 1.4408118E+002, 1.2563028E+002, 1.3018585E+002, 1.3200531E+002, 1.3084979E+002, 1.1090547E+002, 1.0796019E-001, 1.0106761E-001, 1.9251474E+000, 1.8240611E+000, 1.6736988E+000, 1.4522888E+000, 7.3435827E-001, 8.1310002E-001, 8.7226758E-001, 9.5300448E-001, 4.8556587E+002, 5.0275325E+002, 5.3035198E+002, 5.5257984E+002, 5.6527071E+002, 4.1247514E+002, 4.9689429E+002, 5.3001795E+002, 5.3726852E+002, 5.3697185E+002
 3.4000683E+002, 4.2767971E+001, 4.2736426E+001, 4.3789241E+001, 4.3622904E+001, 5.1056651E+001, 2.6126980E+002, 2.1183070E+002, 1.9592646E+002, 1.8041938E+002, 1.5762399E+002, 1.0285216E+002, 1.1751598E+002, 1.0704341E+002, 1.1027903E+002, 1.1149072E+002, 1.1062379E+002, 9.7205540E+001, 1.2727996E-001, 1.1057612E-001, 2.2899330E+000, 2.2925775E+000, 2.2222895E+000, 2.0099802E+000, 4.3691203E-001, 4.9469271E-001, 5.3973241E-001, 5.7883814E-001, 4.0453101E+002, 4.1845098E+002, 4.4461164E+002, 4.8664674E+002, 5.0656445E+002, 3.3755224E+002, 4.3597138E+002, 4.7224031E+002, 4.8421606E+002, 4.8813769E+002
