s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C
Time,TC_23,TC_20,TC_17,TC_14,TC_3,TC_22,TC_19,TC_16,TC_13,TC_11,TC_2,TC_21,TC_18,TC_15,TC_12,TC_10,TC_1,HF_10,HF_5,HF_9,HF_7,HF_4,HF_2,HF_8,HF_6,HF_3,HF_1,TC_32,TC_31,TC_30,TC_29,TC_28,TC_37,TC_36,TC_35,TC_34,TC_33
 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001,-3.1140590E-004,-1.8493755E-004,-4.2515543E-004,-3.1142956E-004,-2.4326450E-004,-2.0862199E-004,-1.5732009E-004,-1.1374908E-004,-1.0285246E-004,-1.3255334E-004, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001
 1.0012277E+001, 2.9999979E+001, 2.9999934E+001, 2.9999941E+001, 2.9999943E+001, 2.9999973E+001, 2.9999993E+001, 2.9999944E+001, 2.9999949E+001, 2.9999950E+001, 2.9999962E+001, 2.9999977E+001, 2.9999988E+001, 2.9999956E+001, 2.9999963E+001, 2.9999973E+001, 2.9999975E+001, 2.9999980E+001,-2.2427170E-005,-1.9697075E-005,-1.5730864E-005,-1.5088902E-005,-1.3758266E-005,-9.7961636E-006,-1.6139185E-005,-1.2189714E-005,-9.6587687E-006,-7.1439147E-006, 3.0002956E+001, 3.0003864E+001, 3.0155625E+001, 3.0442103E+001, 3.0469715E+001, 3.0003328E+001, 3.0025829E+001, 3.0193300E+001, 3.0320673E+001, 3.0358950E+001
 2.0008437E+001, 3.0008283E+001, 3.0001416E+001, 3.0001119E+001, 3.0000876E+001, 3.0000085E+001, 3.0005236E+001, 3.0001841E+001, 3.0001401E+001, 3.0001050E+001, 3.0000639E+001, 3.0000133E+001, 3.0062885E+001, 3.0001409E+001, 3.0001061E+001, 3.0000836E+001, 3.0000513E+001, 3.0000051E+001, 2.1716241E-003, 1.5818042E-003, 3.0122844E-003, 2.5143578E-003, 2.0781676E-003, 1.4658281E-003, 2.4076855E-003, 2.0050818E-003, 1.6686383E-003, 1.1077163E-003, 3.3638462E+001, 3.5089715E+001, 3.7332370E+001, 3.8759066E+001, 3.8660125E+001, 3.4783791E+001, 3.5963364E+001, 3.7663359E+001, 3.8511889E+001, 3.8410588E+001
 3.0003957E+001, 3.0033075E+001, 3.0014163E+001, 3.0012775E+001, 3.0017206E+001, 3.0179963E+001, 3.0290398E+001, 3.0581033E+001, 3.0588449E+001, 3.0695375E+001, 3.0713437E+001, 3.0504966E+001, 3.1387403E+001, 3.1235551E+001, 3.1009953E+001, 3.0949959E+001, 3.0909531E+001, 3.0925327E+001, 8.2490140E-003, 6.7731233E-003, 5.2957211E-002, 5.6884757E-002, 5.6255044E-002, 5.5966101E-002, 6.4862241E-002, 5.5468946E-002, 5.2971043E-002, 5.4405353E-002, 5.4736802E+001, 5.8520005E+001, 6.2759432E+001, 6.2627012E+001, 6.0174534E+001, 5.8292937E+001, 6.2114702E+001, 6.5966351E+001, 6.6610425E+001, 6.4847428E+001
 4.0001438E+001, 3.0092816E+001, 3.0264286E+001, 3.0286844E+001, 3.0754675E+001, 3.1904960E+001, 3.5312328E+001, 3.7674978E+001, 3.7760924E+001, 3.7837124E+001, 3.7492702E+001, 3.4882571E+001, 4.2694312E+001, 4.1620025E+001, 4.1591995E+001, 4.1501044E+001, 4.1336744E+001, 3.9141034E+001, 2.3740488E-002, 2.9653319E-002, 2.0527741E-001, 2.2078217E-001, 2.3667483E-001, 2.4173947E-001, 3.1435396E-001, 3.4886194E-001, 3.7664020E-001, 3.9922207E-001, 9.3954888E+001, 1.0000120E+002, 1.0531446E+002, 1.0426398E+002, 1.0028686E+002, 1.0669587E+002, 1.1330888E+002, 1.1949702E+002, 1.1884275E+002, 1.1464941E+002
 5.0000900E+001, 3.0305412E+001, 3.0776691E+001, 3.0724115E+001, 3.1776955E+001, 3.4687823E+001, 4.7121157E+001, 5.2112681E+001, 5.1598983E+001, 5.1298532E+001, 4.9368990E+001, 4.3578531E+001, 6.5371572E+001, 5.4872953E+001, 5.5980321E+001, 5.6975967E+001, 5.7308238E+001, 5.2301715E+001, 5.2053240E-002, 4.1250363E-002, 5.7563780E-001, 5.6076793E-001, 5.5337998E-001, 5.0551319E-001, 4.1742608E-001, 4.5437190E-001, 5.0871916E-001, 5.6326023E-001, 1.5474913E+002, 1.6390118E+002, 1.7381903E+002, 1.7330064E+002, 1.6692539E+002, 1.6550366E+002, 1.7624555E+002, 1.8437349E+002, 1.8423356E+002, 1.7725937E+002
 6.0000373E+001, 3.0990446E+001, 3.3667703E+001, 3.4410865E+001, 3.5761153E+001, 3.8912758E+001, 7.6332513E+001, 7.9767983E+001, 7.6684662E+001, 7.4413916E+001, 6.9612071E+001, 5.6169900E+001, 9.9012102E+001, 8.2290645E+001, 8.1621422E+001, 8.0850616E+001, 7.8589205E+001, 6.7004840E+001, 1.0479831E-001, 1.3180640E-001, 9.8516566E-001, 9.4982845E-001, 9.1090334E-001, 8.5458501E-001, 1.0373593E+000, 1.0658499E+000, 1.0720455E+000, 1.0412381E+000, 2.2985922E+002, 2.4171851E+002, 2.5486017E+002, 2.5453565E+002, 2.4790688E+002, 2.1954121E+002, 2.3064321E+002, 2.4012229E+002, 2.3990850E+002, 2.3338207E+002
 7.0005430E+001, 3.1646156E+001, 3.6289874E+001, 3.7690556E+001, 3.8981224E+001, 4.2258367E+001, 1.0866494E+002, 1.1193126E+002, 1.0656428E+002, 1.0158761E+002, 9.2970422E+001, 6.9713279E+001, 1.1104356E+002, 9.4660452E+001, 9.4113840E+001, 9.3037587E+001, 9.0060706E+001, 7.6077619E+001, 9.1995666E-002, 9.9997762E-002, 1.3780779E+000, 1.3953718E+000, 1.3710062E+000, 1.2671937E+000, 7.1420676E-001, 7.7615524E-001, 8.1458207E-001, 8.5327484E-001, 2.9578551E+002, 3.0755781E+002, 3.1826792E+002, 3.1750145E+002, 3.1189989E+002, 2.5371733E+002, 2.6491200E+002, 2.7198792E+002, 2.6974108E+002, 2.6356608E+002
 8.0003581E+001, 3.2304793E+001, 3.6730000E+001, 3.7691783E+001, 3.9030984E+001, 4.5351798E+001, 1.3989923E+002, 1.3737035E+002, 1.2998977E+002, 1.2202865E+002, 1.1017287E+002, 7.9276769E+001, 1.2634331E+002, 1.0427139E+002, 1.0476031E+002, 1.0422603E+002, 1.0121541E+002, 8.4170579E+001, 9.9820379E-002, 8.6963177E-002, 1.6040622E+000, 1.5753426E+000, 1.4872476E+000, 1.3552733E+000, 1.0022488E+000, 1.0903011E+000, 1.1586420E+000, 1.2026672E+000, 3.4241579E+002, 3.5416273E+002, 3.6262619E+002, 3.6067950E+002, 3.5585147E+002, 2.8635608E+002, 3.0232139E+002, 3.1489015E+002, 3.0948764E+002, 3.0180392E+002
