s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C
Time,TC_23,TC_20,TC_17,TC_14,TC_3,TC_22,TC_19,TC_16,TC_13,TC_11,TC_2,TC_21,TC_18,TC_15,TC_12,TC_10,TC_1,HF_10,HF_5,HF_9,HF_7,HF_4,HF_2,HF_8,HF_6,HF_3,HF_1,TC_32,TC_31,TC_30,TC_29,TC_28,TC_37,TC_36,TC_35,TC_34,TC_33
 3.4000456E+002, 1.0316909E+002, 4.8173506E+001, 5.2580945E+001, 5.6062747E+001, 6.5941409E+001, 1.9679945E+002, 1.8659665E+002, 1.8261218E+002, 1.7999904E+002, 1.7026440E+002, 1.2512847E+002, 2.3268437E+002, 1.4498584E+002, 1.5488758E+002, 1.6358164E+002, 1.6972483E+002, 1.6031952E+002, 1.4483601E-001, 1.1416648E-001, 1.1293031E+000, 1.1549418E+000, 1.1822851E+000, 1.1129282E+000, 7.0164368E-001, 7.1109037E-001, 7.3572547E-001, 8.2486217E-001, 2.8365543E+002, 2.9262707E+002, 3.1645247E+002, 3.4095614E+002, 3.6097811E+002, 2.0687073E+002, 2.2331964E+002, 3.3497904E+002, 3.8662114E+002, 4.2371482E+002
 3.5000545E+002, 8.7866746E+001, 4.5101110E+001, 4.8730425E+001, 5.1117317E+001, 5.8213045E+001, 1.6794459E+002, 1.5620489E+002, 1.5045448E+002, 1.4612631E+002, 1.3637650E+002, 1.0199049E+002, 1.8866930E+002, 1.1817380E+002, 1.2491622E+002, 1.3082604E+002, 1.3575360E+002, 1.2768798E+002, 9.8143506E-002, 7.7145800E-002, 7.5646397E-001, 7.1602590E-001, 7.0075928E-001, 6.3886506E-001, 5.5119608E-001, 6.1962188E-001, 7.0943829E-001, 8.2197714E-001, 2.1555775E+002, 2.1543957E+002, 2.2493665E+002, 2.4296883E+002, 2.6157069E+002, 1.6408038E+002, 1.7110884E+002, 2.2215858E+002, 2.7698861E+002, 3.4091089E+002
 3.6000512E+002, 7.9034415E+001, 4.2759113E+001, 4.5497158E+001, 4.7394279E+001, 5.2606517E+001, 1.4547532E+002, 1.3295648E+002, 1.2784623E+002, 1.2318670E+002, 1.1373383E+002, 8.5202680E+001, 1.5400042E+002, 1.0219815E+002, 1.0767135E+002, 1.1180613E+002, 1.1514822E+002, 1.0843454E+002, 8.0736297E-002, 7.4711480E-002, 6.9436123E-001, 7.2241301E-001, 7.0374949E-001, 6.3926326E-001, 4.6438966E-001, 5.0489737E-001, 5.6661528E-001, 7.0330300E-001, 1.8463749E+002, 1.8419390E+002, 1.8790189E+002, 1.9846412E+002, 2.1156360E+002, 1.4249220E+002, 1.4517625E+002, 1.7435512E+002, 2.1514092E+002, 2.6700994E+002
 3.7000465E+002, 7.3218168E+001, 4.0797681E+001, 4.3165963E+001, 4.4719814E+001, 4.9200333E+001, 1.2866504E+002, 1.1827851E+002, 1.1223018E+002, 1.0697283E+002, 9.9584947E+001, 7.6831331E+001, 1.2664692E+002, 8.8348838E+001, 9.2841986E+001, 9.6325738E+001, 1.0016942E+002, 9.3702401E+001, 6.8098113E-002, 5.7538519E-002, 6.4719660E-001, 6.2734210E-001, 5.9914936E-001, 5.6378316E-001, 3.8284832E-001, 4.2097730E-001, 4.8792934E-001, 6.0961146E-001, 1.6788275E+002, 1.6729386E+002, 1.6932144E+002, 1.7610158E+002, 1.8584771E+002, 1.3099080E+002, 1.3229982E+002, 1.5024669E+002, 1.7670362E+002, 2.1153192E+002
 3.8000529E+002, 6.7230743E+001, 3.9236563E+001, 4.1315268E+001, 4.2481468E+001, 4.5933250E+001, 1.1578379E+002, 1.0720278E+002, 1.0161714E+002, 9.6671148E+001, 9.0606323E+001, 7.1321064E+001, 1.1368641E+002, 7.8949492E+001, 8.3359369E+001, 8.6819008E+001, 9.0462914E+001, 8.5548214E+001, 6.1551253E-002, 5.3283582E-002, 5.3205768E-001, 5.3230651E-001, 5.3043288E-001, 5.3586779E-001, 3.6719626E-001, 4.1930175E-001, 5.0740867E-001, 5.9671447E-001, 1.5526332E+002, 1.5417117E+002, 1.5567539E+002, 1.6198113E+002, 1.7075695E+002, 1.2152209E+002, 1.2248545E+002, 1.3629045E+002, 1.5750133E+002, 1.8418911E+002
 3.9000153E+002, 6.4199663E+001, 3.8271233E+001, 3.9726081E+001, 4.0554665E+001, 4.3478565E+001, 1.0755121E+002, 9.6873123E+001, 9.2065728E+001, 8.8302853E+001, 8.3808385E+001, 6.7691974E+001, 1.0377037E+002, 7.3139053E+001, 7.7323362E+001, 8.0791067E+001, 8.4026914E+001, 7.8767105E+001, 6.3779887E-002, 4.7965705E-002, 4.8711501E-001, 4.6850582E-001, 4.7151039E-001, 4.8447570E-001, 3.7379156E-001, 4.2196361E-001, 4.8058035E-001, 5.4394218E-001, 1.4559595E+002, 1.4540380E+002, 1.4784699E+002, 1.5290407E+002, 1.6050937E+002, 1.1606981E+002, 1.1652808E+002, 1.2848245E+002, 1.4500521E+002, 1.6531523E+002
 4.0000745E+002, 6.1973316E+001, 3.7414233E+001, 3.8301530E+001, 3.8870200E+001, 4.1932835E+001, 1.0073055E+002, 8.8682567E+001, 8.3971090E+001, 8.0711160E+001, 7.6713553E+001, 6.3555690E+001, 9.1205684E+001, 6.7650256E+001, 7.1551075E+001, 7.4846485E+001, 7.8953345E+001, 7.5027404E+001, 5.2873337E-002, 4.1436261E-002, 3.6296727E-001, 3.2513965E-001, 2.9944423E-001, 2.7603515E-001, 2.6708973E-001, 2.7805745E-001, 3.1124032E-001, 3.8696227E-001, 1.3701103E+002, 1.3666791E+002, 1.4017997E+002, 1.4523068E+002, 1.5185820E+002, 1.0978329E+002, 1.1033071E+002, 1.2130908E+002, 1.3736068E+002, 1.5629646E+002
 4.1000625E+002, 5.9529036E+001, 3.6288802E+001, 3.6985976E+001, 3.7425801E+001, 4.0076694E+001, 9.5212837E+001, 8.1715572E+001, 7.7756011E+001, 7.4096146E+001, 7.0131386E+001, 5.8854501E+001, 8.1742304E+001, 6.1516087E+001, 6.4681060E+001, 6.7397779E+001, 7.1125972E+001, 6.9199289E+001, 4.7060533E-002, 3.9360381E-002, 3.5771617E-001, 3.3576349E-001, 3.1178912E-001, 2.6699775E-001, 2.6806090E-001, 2.8291802E-001, 3.1330597E-001, 3.6377043E-001, 1.3413143E+002, 1.3333973E+002, 1.3562266E+002, 1.3937380E+002, 1.4592836E+002, 1.0574847E+002, 1.0596810E+002, 1.1611684E+002, 1.3049648E+002, 1.4676724E+002
 4.2000449E+002, 5.6985803E+001, 3.5365079E+001, 3.6042078E+001, 3.6494860E+001, 3.9226193E+001, 9.0118775E+001, 7.7896679E+001, 7.4332556E+001, 7.0627892E+001, 6.6645500E+001, 5.7177660E+001, 7.7121689E+001, 5.8477321E+001, 6.1523741E+001, 6.3966597E+001, 6.7483252E+001, 6.7307368E+001, 4.4172959E-002, 4.0545219E-002, 3.3522606E-001, 3.4371401E-001, 3.3206263E-001, 3.1148464E-001, 2.7197538E-001, 2.9900093E-001, 3.3755369E-001, 4.0281961E-001, 1.2821417E+002, 1.2866566E+002, 1.3077820E+002, 1.3383599E+002, 1.4022783E+002, 1.0147010E+002, 1.0211508E+002, 1.1131834E+002, 1.2517075E+002, 1.4030443E+002
 4.3000292E+002, 5.6026914E+001, 3.4696796E+001, 3.5368574E+001, 3.5920934E+001, 3.8070304E+001, 8.5498241E+001, 7.4220372E+001, 7.0990770E+001, 6.7465818E+001, 6.3839548E+001, 5.5549427E+001, 7.2688592E+001, 5.6777200E+001, 6.0390857E+001, 6.3042670E+001, 6.6142029E+001, 6.6300689E+001, 4.4156440E-002, 4.1208197E-002, 3.1920364E-001, 3.0167974E-001, 2.8653568E-001, 2.7246578E-001, 2.5024654E-001, 2.7867555E-001, 3.0597060E-001, 3.5354075E-001, 1.2272715E+002, 1.2308707E+002, 1.2613801E+002, 1.2946200E+002, 1.3546435E+002, 9.9143359E+001, 9.9266335E+001, 1.0734263E+002, 1.2001780E+002, 1.3396318E+002
 4.4000431E+002, 5.4885194E+001, 3.4307230E+001, 3.4877436E+001, 3.5426960E+001, 3.6893680E+001, 8.2070225E+001, 7.0904141E+001, 6.7411594E+001, 6.4596840E+001, 6.1637340E+001, 5.4763832E+001, 6.8782025E+001, 5.4408456E+001, 5.7722114E+001, 6.0286061E+001, 6.3270970E+001, 6.3935935E+001, 4.5882400E-002, 3.9764205E-002, 3.0344794E-001, 2.7466878E-001, 2.6489470E-001, 2.5115119E-001, 2.4554468E-001, 2.7104631E-001, 3.0633423E-001, 3.6619646E-001, 1.1990046E+002, 1.1998853E+002, 1.2130897E+002, 1.2510392E+002, 1.3070319E+002, 9.7748040E+001, 9.7728199E+001, 1.0498890E+002, 1.1621814E+002, 1.2858284E+002
 4.5000341E+002, 5.4164250E+001, 3.4403704E+001, 3.4856707E+001, 3.5439717E+001, 3.6252615E+001, 7.9980577E+001, 7.0610601E+001, 6.7174009E+001, 6.4806132E+001, 6.1520518E+001, 5.3719428E+001, 6.7529314E+001, 5.3771230E+001, 5.7138555E+001, 5.9520827E+001, 6.2623018E+001, 6.3852236E+001, 3.9424279E-002, 3.6856563E-002, 3.6207300E-001, 3.5740707E-001, 3.4994380E-001, 3.3698897E-001, 2.4754139E-001, 2.7816272E-001, 3.1105391E-001, 3.7463131E-001, 1.1858155E+002, 1.1848550E+002, 1.1883474E+002, 1.2210364E+002, 1.2731742E+002, 9.4767187E+001, 9.4916474E+001, 1.0301914E+002, 1.1446241E+002, 1.2610856E+002
 4.6000779E+002, 5.3452815E+001, 3.3949115E+001, 3.4314700E+001, 3.4868869E+001, 3.6260707E+001, 7.7624603E+001, 7.0413125E+001, 6.7681646E+001, 6.5977948E+001, 6.3579336E+001, 5.3763637E+001, 6.5082930E+001, 5.3242226E+001, 5.6791484E+001, 5.9130246E+001, 6.2117990E+001, 6.3632498E+001, 3.7818512E-002, 3.1064653E-002, 3.6041209E-001, 3.5564804E-001, 3.4719475E-001, 3.4511756E-001, 2.2288883E-001, 2.4721220E-001, 2.6264735E-001, 2.9932080E-001, 1.1451586E+002, 1.1455566E+002, 1.1538430E+002, 1.1839564E+002, 1.2321860E+002, 9.1984621E+001, 9.1617475E+001, 9.9091449E+001, 1.1184192E+002, 1.2436576E+002
 4.7000680E+002, 5.2975148E+001, 3.3630305E+001, 3.3871193E+001, 3.4233656E+001, 3.5863690E+001, 7.5681612E+001, 6.8816143E+001, 6.6221406E+001, 6.4327806E+001, 6.2099485E+001, 5.2420858E+001, 6.0935983E+001, 5.1550085E+001, 5.4934420E+001, 5.7394223E+001, 6.0085488E+001, 6.1020351E+001, 3.5071872E-002, 2.8730069E-002, 2.5240861E-001, 2.3744277E-001, 2.3614858E-001, 2.2544598E-001, 2.0983342E-001, 2.2595129E-001, 2.6007194E-001, 2.9823729E-001, 1.1190220E+002, 1.1202548E+002, 1.1274913E+002, 1.1539530E+002, 1.1985506E+002, 8.9738922E+001, 8.9916462E+001, 9.6445615E+001, 1.0814347E+002, 1.2065175E+002
 4.8000523E+002, 5.2598344E+001, 3.3333532E+001, 3.3492384E+001, 3.3717207E+001, 3.5574460E+001, 7.4096046E+001, 6.5481851E+001, 6.2209638E+001, 6.0544928E+001, 5.8828654E+001, 5.0280925E+001, 5.9582019E+001, 5.1116039E+001, 5.4281651E+001, 5.6884182E+001, 5.9179002E+001, 5.9558120E+001, 3.6724572E-002, 2.7683106E-002, 2.6220046E-001, 2.0615552E-001, 1.9754520E-001, 2.0759872E-001, 2.1901104E-001, 2.4158618E-001, 2.9511629E-001, 3.2970676E-001, 1.0842928E+002, 1.0869716E+002, 1.0959418E+002, 1.1196507E+002, 1.1672263E+002, 8.9292045E+001, 9.0155584E+001, 9.5443899E+001, 1.0528135E+002, 1.1536995E+002
 4.9000101E+002, 5.2262612E+001, 3.3533029E+001, 3.3690374E+001, 3.3630415E+001, 3.5750176E+001, 7.3412887E+001, 6.4507888E+001, 6.0994333E+001, 5.8849001E+001, 5.7305694E+001, 4.9484291E+001, 5.8432317E+001, 5.0683016E+001, 5.3736048E+001, 5.6562191E+001, 5.8385100E+001, 5.8405328E+001, 4.0358852E-002, 3.8216516E-002, 3.1121316E-001, 2.9599092E-001, 2.7392792E-001, 2.4505234E-001, 2.0394102E-001, 2.1455587E-001, 2.4111409E-001, 2.8728564E-001, 1.0664600E+002, 1.0631790E+002, 1.0700186E+002, 1.0961405E+002, 1.1423206E+002, 8.6085668E+001, 8.8495563E+001, 9.4712221E+001, 1.0396251E+002, 1.1343912E+002
 5.0000989E+002, 5.1720651E+001, 3.3586649E+001, 3.3816700E+001, 3.3822722E+001, 3.5733251E+001, 7.3217245E+001, 6.5919475E+001, 6.2629967E+001, 6.0116190E+001, 5.7447574E+001, 4.9262353E+001, 5.6559200E+001, 5.0129349E+001, 5.3086096E+001, 5.5701497E+001, 5.7587774E+001, 5.7706767E+001, 3.2672839E-002, 2.9914268E-002, 3.0853114E-001, 2.9902035E-001, 2.8524379E-001, 2.6292188E-001, 2.0313266E-001, 2.1880054E-001, 2.4819521E-001, 2.8941857E-001, 1.0505121E+002, 1.0443935E+002, 1.0561751E+002, 1.0803867E+002, 1.1213352E+002, 8.5415775E+001, 8.6803606E+001, 9.2263252E+001, 1.0129426E+002, 1.1048116E+002
 5.1000583E+002, 5.0586369E+001, 3.3312634E+001, 3.3436014E+001, 3.3691175E+001, 3.5728354E+001, 7.2006302E+001, 6.5177461E+001, 6.2063676E+001, 5.9545254E+001, 5.6819058E+001, 4.8994378E+001, 5.5403364E+001, 4.9975446E+001, 5.3252802E+001, 5.5830591E+001, 5.7383223E+001, 5.6723628E+001, 2.9219542E-002, 2.5682675E-002, 2.3955276E-001, 2.2367415E-001, 2.0552796E-001, 1.8578078E-001, 1.8881511E-001, 2.2260699E-001, 2.4353741E-001, 2.5964863E-001, 1.0186858E+002, 1.0124158E+002, 1.0264853E+002, 1.0539990E+002, 1.0916557E+002, 8.3636594E+001, 8.4220795E+001, 8.9576042E+001, 9.8216286E+001, 1.0723156E+002
 5.2000309E+002, 5.0005401E+001, 3.3197696E+001, 3.3203697E+001, 3.3379537E+001, 3.5657873E+001, 7.0637396E+001, 6.4036390E+001, 6.1106515E+001, 5.8115519E+001, 5.4987150E+001, 4.8276921E+001, 5.4204896E+001, 4.9160487E+001, 5.2669379E+001, 5.5044592E+001, 5.6477695E+001, 5.6046360E+001, 3.4233044E-002, 2.9583075E-002, 2.9473707E-001, 2.7521716E-001, 2.5262590E-001, 2.2412927E-001, 1.8259322E-001, 2.0897348E-001, 2.3878063E-001, 2.8597387E-001, 1.0034137E+002, 9.9778880E+001, 1.0081992E+002, 1.0333594E+002, 1.0733393E+002, 8.1659761E+001, 8.2408567E+001, 8.7712459E+001, 9.6110468E+001, 1.0491187E+002
 5.3000401E+002, 5.0478611E+001, 3.3100967E+001, 3.3190318E+001, 3.3295524E+001, 3.5230402E+001, 7.0243516E+001, 6.4419497E+001, 6.0869160E+001, 5.7950320E+001, 5.4785133E+001, 4.7945828E+001, 5.2978439E+001, 4.8486973E+001, 5.1736807E+001, 5.3812103E+001, 5.5972232E+001, 5.6084597E+001, 2.7718852E-002, 2.3591076E-002, 3.0431467E-001, 2.7424814E-001, 2.3876608E-001, 2.0848807E-001, 1.7069841E-001, 1.9305579E-001, 2.0992748E-001, 2.5817981E-001, 1.0063347E+002, 9.9575120E+001, 1.0016619E+002, 1.0215008E+002, 1.0587666E+002, 8.0795828E+001, 8.1494592E+001, 8.6810726E+001, 9.5117143E+001, 1.0341668E+002
 5.4000204E+002, 5.0139666E+001, 3.2974590E+001, 3.3015226E+001, 3.3155253E+001, 3.4999818E+001, 6.8641972E+001, 6.3978521E+001, 6.0935590E+001, 5.7663201E+001, 5.4585672E+001, 4.8070474E+001, 5.1871465E+001, 4.7562584E+001, 5.0587233E+001, 5.2402945E+001, 5.4655238E+001, 5.5542931E+001, 3.4780258E-002, 3.0243538E-002, 2.5161306E-001, 2.7088253E-001, 2.6618585E-001, 2.4081558E-001, 1.8911295E-001, 2.0207116E-001, 2.1194242E-001, 2.4482570E-001, 9.9334393E+001, 9.8119043E+001, 9.8569850E+001, 1.0022701E+002, 1.0376761E+002, 7.9347332E+001, 8.0137962E+001, 8.5997903E+001, 9.4413284E+001, 1.0262497E+002
 5.5001186E+002, 4.9385224E+001, 3.3126329E+001, 3.3228635E+001, 3.3309857E+001, 3.5044709E+001, 6.7231713E+001, 6.2309341E+001, 6.0095312E+001, 5.7413443E+001, 5.4269666E+001, 4.8140182E+001, 5.1011848E+001, 4.7371492E+001, 5.0170553E+001, 5.1877004E+001, 5.4027288E+001, 5.4875656E+001, 2.6847105E-002, 2.5089524E-002, 1.8050053E-001, 1.8311606E-001, 1.8652748E-001, 1.8391956E-001, 1.6107554E-001, 1.6904248E-001, 1.8403162E-001, 2.1569832E-001, 9.6727255E+001, 9.6370091E+001, 9.7155058E+001, 9.8726832E+001, 1.0225475E+002, 7.8075253E+001, 7.9155240E+001, 8.4385538E+001, 9.2803389E+001, 1.0105057E+002
 5.6000113E+002, 4.8144475E+001, 3.2763959E+001, 3.2924843E+001, 3.3118515E+001, 3.4927054E+001, 6.5187851E+001, 5.9799630E+001, 5.8013466E+001, 5.6082962E+001, 5.3234707E+001, 4.7323794E+001, 5.0482702E+001, 4.6520822E+001, 4.9232317E+001, 5.0817571E+001, 5.2660932E+001, 5.3215063E+001, 2.5092600E-002, 2.4349432E-002, 1.8139100E-001, 1.7668899E-001, 1.7694930E-001, 1.7816444E-001, 1.4779503E-001, 1.6234882E-001, 1.7573336E-001, 1.9800267E-001, 9.4071446E+001, 9.3699450E+001, 9.4887783E+001, 9.6724308E+001, 1.0048209E+002, 7.7385030E+001, 7.8996072E+001, 8.3908410E+001, 9.1226368E+001, 9.8541141E+001
 5.7000342E+002, 4.8045364E+001, 3.2505656E+001, 3.2692142E+001, 3.2929040E+001, 3.4937693E+001, 6.4877136E+001, 5.8724781E+001, 5.6708400E+001, 5.4952630E+001, 5.1842044E+001, 4.6815163E+001, 5.0548481E+001, 4.5858232E+001, 4.8410994E+001, 4.9885693E+001, 5.1570002E+001, 5.2415183E+001, 2.5275779E-002, 2.0633351E-002, 2.2543533E-001, 2.0507515E-001, 1.9853955E-001, 1.7514355E-001, 1.3489523E-001, 1.4347933E-001, 1.5941442E-001, 1.7614318E-001, 9.2175292E+001, 9.2076592E+001, 9.3644163E+001, 9.5578560E+001, 9.9003241E+001, 7.5957289E+001, 7.7390488E+001, 8.2299776E+001, 8.9585121E+001, 9.6601681E+001
 5.8000615E+002, 4.7624308E+001, 3.2284059E+001, 3.2436444E+001, 3.2624808E+001, 3.4620013E+001, 6.3865962E+001, 5.6774662E+001, 5.4563577E+001, 5.3512531E+001, 5.1549533E+001, 4.5907276E+001, 4.9551917E+001, 4.4488014E+001, 4.6547322E+001, 4.7648842E+001, 4.9077597E+001, 5.1017839E+001, 2.3556789E-002, 1.9556114E-002, 1.4219289E-001, 1.3458043E-001, 1.4617318E-001, 1.5339841E-001, 1.3286984E-001, 1.3950276E-001, 1.4712885E-001, 1.6241203E-001, 9.1619054E+001, 9.1044018E+001, 9.2912528E+001, 9.4760555E+001, 9.7933165E+001, 7.5221057E+001, 7.6394007E+001, 8.0660555E+001, 8.7652715E+001, 9.5495778E+001
 5.9000703E+002, 4.7305162E+001, 3.2089737E+001, 3.2216401E+001, 3.2393134E+001, 3.4194687E+001, 6.3453309E+001, 5.5023074E+001, 5.3322199E+001, 5.2616140E+001, 5.0767064E+001, 4.5284613E+001, 5.0278205E+001, 4.4418812E+001, 4.7032805E+001, 4.8259899E+001, 4.9702579E+001, 5.0647543E+001, 2.2989416E-002, 2.2863055E-002, 1.6997217E-001, 1.5900764E-001, 1.5556645E-001, 1.6434793E-001, 1.4003714E-001, 1.7933011E-001, 2.0055381E-001, 2.3470618E-001, 8.9612281E+001, 8.9082397E+001, 9.0462492E+001, 9.2287980E+001, 9.5398448E+001, 7.3300621E+001, 7.4462949E+001, 7.9290248E+001, 8.6255164E+001, 9.4008562E+001
 6.0000743E+002, 4.6787323E+001, 3.1912746E+001, 3.2092345E+001, 3.2544758E+001, 3.4518152E+001, 6.2853788E+001, 5.4274600E+001, 5.2152656E+001, 5.1146341E+001, 4.9996784E+001, 4.4701188E+001, 4.9532003E+001, 4.4035735E+001, 4.7108986E+001, 4.8583451E+001, 4.9948449E+001, 5.0550609E+001, 2.2208205E-002, 2.3065549E-002, 2.0349471E-001, 1.7743881E-001, 1.5581340E-001, 1.4474295E-001, 1.4261969E-001, 1.6227162E-001, 1.7724520E-001, 2.0098398E-001, 8.7565542E+001, 8.7598643E+001, 8.8575579E+001, 9.0883829E+001, 9.4139189E+001, 7.2995813E+001, 7.3801732E+001, 7.7977136E+001, 8.4818752E+001, 9.1942042E+001
 6.1000357E+002, 4.6383257E+001, 3.1836752E+001, 3.2060712E+001, 3.2549064E+001, 3.4329086E+001, 6.2532091E+001, 5.4385598E+001, 5.1747011E+001, 5.0254626E+001, 4.8749465E+001, 4.4671702E+001, 4.8647138E+001, 4.4273849E+001, 4.7292858E+001, 4.8970064E+001, 5.0382838E+001, 5.0814777E+001, 2.2641807E-002, 1.9892049E-002, 1.6417473E-001, 1.4174185E-001, 1.3784455E-001, 1.3685219E-001, 1.3756077E-001, 1.5422322E-001, 1.7665417E-001, 1.9903794E-001, 8.5556549E+001, 8.5566178E+001, 8.6669880E+001, 8.8955543E+001, 9.2207968E+001, 7.1790373E+001, 7.2497821E+001, 7.6736435E+001, 8.3635041E+001, 9.0636251E+001
 6.2000906E+002, 4.6064217E+001, 3.1792912E+001, 3.2026930E+001, 3.2482549E+001, 3.3956833E+001, 6.1728968E+001, 5.3675951E+001, 5.1463727E+001, 4.9944668E+001, 4.8491541E+001, 4.4673560E+001, 4.8434571E+001, 4.3886757E+001, 4.6785683E+001, 4.8604127E+001, 5.0048564E+001, 5.0172422E+001, 2.1961256E-002, 1.8280876E-002, 1.8042872E-001, 1.6683274E-001, 1.5256885E-001, 1.3609642E-001, 1.2297687E-001, 1.3905173E-001, 1.5846710E-001, 1.8128805E-001, 8.5370444E+001, 8.5145244E+001, 8.6215132E+001, 8.8378051E+001, 9.1484941E+001, 7.2146481E+001, 7.2102082E+001, 7.5978827E+001, 8.2477811E+001, 8.9258932E+001
 6.3001213E+002, 4.6197017E+001, 3.1779006E+001, 3.1880837E+001, 3.2226480E+001, 3.4204405E+001, 6.1043756E+001, 5.3315837E+001, 5.1242192E+001, 4.9828490E+001, 4.8453363E+001, 4.4635874E+001, 4.7585466E+001, 4.2978161E+001, 4.5659455E+001, 4.7567806E+001, 4.9587750E+001, 4.9361696E+001, 2.7274438E-002, 1.8593742E-002, 1.7044077E-001, 1.6787923E-001, 1.5851803E-001, 1.4226036E-001, 1.2196332E-001, 1.3223752E-001, 1.6430976E-001, 2.0145751E-001, 8.4075936E+001, 8.3902146E+001, 8.4926313E+001, 8.6710551E+001, 8.9968565E+001, 7.0984084E+001, 7.1371826E+001, 7.5697746E+001, 8.2486820E+001, 8.8954308E+001
 6.4000202E+002, 4.5951042E+001, 3.2079105E+001, 3.2141263E+001, 3.2459714E+001, 3.4044396E+001, 6.0890437E+001, 5.2781387E+001, 5.0724763E+001, 4.9166479E+001, 4.7727492E+001, 4.4077898E+001, 4.6777323E+001, 4.2347462E+001, 4.5153939E+001, 4.7421198E+001, 4.9366489E+001, 4.8710801E+001, 2.1416840E-002, 2.7185189E-002, 1.4243226E-001, 1.2530660E-001, 1.1631633E-001, 1.1331818E-001, 1.2257191E-001, 1.3994237E-001, 1.6026273E-001, 1.8286995E-001, 8.3917566E+001, 8.3881022E+001, 8.3853010E+001, 8.5686963E+001, 8.8893771E+001, 7.0252776E+001, 7.0598258E+001, 7.4408095E+001, 8.0824304E+001, 8.6772966E+001
 6.5001352E+002, 4.5527158E+001, 3.1955504E+001, 3.2115453E+001, 3.2727357E+001, 3.3817541E+001, 6.0157260E+001, 5.2146656E+001, 5.0124306E+001, 4.8825424E+001, 4.7300860E+001, 4.3378425E+001, 4.6803652E+001, 4.2510540E+001, 4.5515054E+001, 4.7922148E+001, 4.9865621E+001, 4.9287241E+001, 1.9910243E-002, 2.0359850E-002, 1.5600876E-001, 1.5151137E-001, 1.5020286E-001, 1.4758074E-001, 1.2270631E-001, 1.4291799E-001, 1.6800457E-001, 1.9857903E-001, 8.2699414E+001, 8.2684112E+001, 8.2960476E+001, 8.4838882E+001, 8.7968700E+001, 6.8891026E+001, 6.9655031E+001, 7.4058548E+001, 8.0109349E+001, 8.5831128E+001
 6.6000558E+002, 4.5264499E+001, 3.1864800E+001, 3.2019572E+001, 3.2630534E+001, 3.3630866E+001, 5.9283772E+001, 5.1778030E+001, 5.0075318E+001, 4.8889939E+001, 4.7412654E+001, 4.3132938E+001, 4.6251154E+001, 4.2847482E+001, 4.5823945E+001, 4.8135852E+001, 5.0270431E+001, 5.0523089E+001, 2.0228444E-002, 1.7004362E-002, 1.3349051E-001, 1.2763878E-001, 1.2766444E-001, 1.2892827E-001, 1.3043315E-001, 1.4779873E-001, 1.6692428E-001, 1.9614244E-001, 8.1374946E+001, 8.1029283E+001, 8.2224920E+001, 8.3720843E+001, 8.6668559E+001, 6.8287269E+001, 6.8964201E+001, 7.2805997E+001, 7.8943487E+001, 8.5301176E+001
 6.7000118E+002, 4.4657833E+001, 3.1791001E+001, 3.1863629E+001, 3.2350977E+001, 3.3460305E+001, 5.8700719E+001, 5.1431056E+001, 4.9447074E+001, 4.8225648E+001, 4.6732639E+001, 4.2721499E+001, 4.6841043E+001, 4.2779303E+001, 4.5909745E+001, 4.8128161E+001, 5.0000537E+001, 5.0515754E+001, 2.1323266E-002, 1.7671008E-002, 1.9132705E-001, 1.6232987E-001, 1.4308467E-001, 1.2595249E-001, 1.1487644E-001, 1.4141437E-001, 1.6068353E-001, 1.8950806E-001, 8.1039771E+001, 8.1162595E+001, 8.1365275E+001, 8.2681924E+001, 8.5435457E+001, 6.8509803E+001, 6.9042118E+001, 7.2173849E+001, 7.8058260E+001, 8.3825136E+001
 6.8001110E+002, 4.4464518E+001, 3.1924851E+001, 3.2071246E+001, 3.2683673E+001, 3.3363273E+001, 5.8987077E+001, 5.2850337E+001, 5.0231708E+001, 4.8641270E+001, 4.7144376E+001, 4.3065710E+001, 4.7058170E+001, 4.2231868E+001, 4.5140721E+001, 4.7155268E+001, 4.8971025E+001, 4.9427556E+001, 2.0780717E-002, 2.7643329E-002, 1.8498851E-001, 1.7422343E-001, 1.6762231E-001, 1.6872713E-001, 1.1216762E-001, 1.2053596E-001, 1.3538516E-001, 1.5596113E-001, 8.0142024E+001, 8.0620562E+001, 8.0982355E+001, 8.2127927E+001, 8.4850824E+001, 6.8097225E+001, 6.8486693E+001, 7.1611770E+001, 7.7287185E+001, 8.2926907E+001
 6.9000989E+002, 4.3845411E+001, 3.1820269E+001, 3.1993236E+001, 3.2721492E+001, 3.3572623E+001, 5.8365479E+001, 5.3340828E+001, 5.1063774E+001, 4.9767392E+001, 4.8192097E+001, 4.3651026E+001, 4.7237953E+001, 4.2679913E+001, 4.5426831E+001, 4.7277784E+001, 4.8855955E+001, 4.8478509E+001, 2.0704742E-002, 1.5014053E-002, 1.8337234E-001, 1.7135568E-001, 1.6751119E-001, 1.5302516E-001, 1.2045219E-001, 1.4530153E-001, 1.7735650E-001, 1.9690557E-001, 7.8770181E+001, 7.8931584E+001, 8.0096561E+001, 8.1438425E+001, 8.3982438E+001, 6.6255674E+001, 6.6905134E+001, 7.0420758E+001, 7.6128169E+001, 8.2161758E+001
