s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C
Time,TC_23,TC_20,TC_17,TC_14,TC_3,TC_22,TC_19,TC_16,TC_13,TC_11,TC_2,TC_21,TC_18,TC_15,TC_12,TC_10,TC_1,HF_10,HF_5,HF_9,HF_7,HF_4,HF_2,HF_8,HF_6,HF_3,HF_1,TC_32,TC_31,TC_30,TC_29,TC_28,TC_37,TC_36,TC_35,TC_34,TC_33
 9.0001784E+001, 8.9624278E+001, 3.5717015E+001, 3.7802876E+001, 3.9617463E+001, 5.4373870E+001, 1.5309851E+002, 1.3929001E+002, 1.3863744E+002, 1.3698018E+002, 1.3477491E+002, 1.1288829E+002, 1.5802487E+002, 1.2889256E+002, 1.4147100E+002, 1.5190214E+002, 1.6619142E+002, 1.6224395E+002, 4.9712062E-001, 3.7732806E-001, 2.8119891E+000, 2.5153300E+000, 2.3398294E+000, 2.2699400E+000, 1.8887222E+000, 2.1109372E+000, 2.3025467E+000, 2.8248832E+000, 3.9345002E+002, 4.5052589E+002, 5.0473783E+002, 5.1835378E+002, 5.1641904E+002, 3.0694528E+002, 3.8429441E+002, 4.0674066E+002, 4.1290450E+002, 4.1001051E+002
 1.0000329E+002, 9.5050367E+001, 3.7544671E+001, 4.0761463E+001, 4.3130343E+001, 5.9674000E+001, 1.7086693E+002, 1.5327011E+002, 1.5376986E+002, 1.5316395E+002, 1.4715144E+002, 1.2158779E+002, 1.8189401E+002, 1.4304247E+002, 1.5591109E+002, 1.6672197E+002, 1.8540441E+002, 1.7618760E+002, 6.0739725E-001, 4.7667537E-001, 3.1379522E+000, 2.8471229E+000, 2.6162358E+000, 2.2986666E+000, 2.1296895E+000, 2.2730099E+000, 2.5090248E+000, 2.9493507E+000, 4.2380122E+002, 5.0683846E+002, 5.5795389E+002, 5.7064847E+002, 5.6960330E+002, 3.3085543E+002, 4.0688922E+002, 4.3721939E+002, 4.4195501E+002, 4.3789081E+002
 1.1000193E+002, 1.0519182E+002, 4.0165862E+001, 4.4090158E+001, 4.6623181E+001, 5.8720549E+001, 1.9202049E+002, 1.6727447E+002, 1.6444852E+002, 1.5839804E+002, 1.5183911E+002, 1.2299401E+002, 2.0658421E+002, 1.4825503E+002, 1.6123040E+002, 1.7391334E+002, 1.8718774E+002, 1.8313895E+002, 6.9447340E-001, 4.9473726E-001, 3.8009373E+000, 3.3720501E+000, 2.9153975E+000, 2.5619395E+000, 2.0639176E+000, 2.2279106E+000, 2.5385110E+000, 2.7626561E+000, 4.3067233E+002, 5.3780508E+002, 5.8716218E+002, 5.9989980E+002, 6.0044022E+002, 3.4596079E+002, 4.3238605E+002, 4.7245055E+002, 4.7703616E+002, 4.7250559E+002
 1.2000313E+002, 1.1961744E+002, 4.1486641E+001, 4.5329107E+001, 4.8440153E+001, 6.0927057E+001, 2.1756589E+002, 1.8175938E+002, 1.7765412E+002, 1.6821943E+002, 1.6007900E+002, 1.2849092E+002, 2.2200829E+002, 1.5601934E+002, 1.7122411E+002, 1.8599731E+002, 1.9773184E+002, 1.8812028E+002, 6.9329624E-001, 5.2556699E-001, 3.5871252E+000, 3.1677248E+000, 2.8538178E+000, 2.5665908E+000, 2.3493917E+000, 2.4719155E+000, 2.6881931E+000, 3.0670983E+000, 4.7286819E+002, 5.5097956E+002, 6.0877155E+002, 6.1714913E+002, 6.1786063E+002, 3.8052360E+002, 4.5704114E+002, 4.8667101E+002, 4.9219712E+002, 4.8899086E+002
 1.3000311E+002, 1.2384980E+002, 4.5334565E+001, 4.8758708E+001, 5.0957102E+001, 6.5700929E+001, 2.2807798E+002, 1.9062054E+002, 1.8411964E+002, 1.7788946E+002, 1.7027265E+002, 1.2905086E+002, 2.3469399E+002, 1.6083727E+002, 1.7548515E+002, 1.8806953E+002, 2.0063579E+002, 1.9229703E+002, 8.7912102E-001, 6.4442401E-001, 4.3283688E+000, 3.8689913E+000, 3.5936163E+000, 3.1533443E+000, 2.2894365E+000, 2.4833886E+000, 2.7084385E+000, 3.0498735E+000, 4.7133964E+002, 5.5837124E+002, 6.2042323E+002, 6.2789677E+002, 6.2586792E+002, 3.7892180E+002, 4.6171685E+002, 4.9410162E+002, 5.0007377E+002, 4.9848739E+002
 1.4000055E+002, 1.2342688E+002, 5.2453610E+001, 5.4632524E+001, 5.6396269E+001, 6.7010605E+001, 2.4041662E+002, 2.0118236E+002, 1.9410183E+002, 1.8871924E+002, 1.7891256E+002, 1.3180963E+002, 2.4681639E+002, 1.7102095E+002, 1.8504707E+002, 1.9660834E+002, 2.0840883E+002, 2.0004080E+002, 8.3314142E-001, 6.2986890E-001, 3.8248073E+000, 3.3417731E+000, 3.0321850E+000, 2.6549168E+000, 2.7545053E+000, 2.9716552E+000, 3.2460276E+000, 3.5617202E+000, 4.9856254E+002, 5.8648566E+002, 6.3258825E+002, 6.4050338E+002, 6.4114085E+002, 3.7094270E+002, 4.5869087E+002, 5.0483666E+002, 5.1475223E+002, 5.1442191E+002
 1.5000112E+002, 1.3348116E+002, 5.2415203E+001, 5.5756371E+001, 6.0535997E+001, 6.7255034E+001, 2.4720248E+002, 2.0656740E+002, 1.9951962E+002, 1.9141294E+002, 1.7819845E+002, 1.3002489E+002, 2.5368516E+002, 1.7324244E+002, 1.8959099E+002, 2.0278206E+002, 2.1648514E+002, 2.0864806E+002, 7.6006039E-001, 5.8373083E-001, 4.2507387E+000, 3.7582927E+000, 3.2894859E+000, 2.8429101E+000, 2.5054111E+000, 2.7655787E+000, 3.0447924E+000, 3.5737259E+000, 5.1493344E+002, 5.9276568E+002, 6.4119581E+002, 6.4978902E+002, 6.5004993E+002, 3.8368368E+002, 4.7673546E+002, 5.1905457E+002, 5.2681995E+002, 5.2350372E+002
 1.6000287E+002, 1.4047353E+002, 5.2078740E+001, 5.5720149E+001, 6.0140525E+001, 6.7900062E+001, 2.4923481E+002, 2.0721180E+002, 2.0046554E+002, 1.9088127E+002, 1.7713185E+002, 1.3583601E+002, 2.6002934E+002, 1.7527593E+002, 1.9105425E+002, 2.0396793E+002, 2.1930333E+002, 2.0807761E+002, 8.4591414E-001, 6.3679833E-001, 4.1641131E+000, 3.6166200E+000, 3.2251547E+000, 2.8214487E+000, 2.6676628E+000, 2.7681305E+000, 3.0860965E+000, 3.4845964E+000, 5.1825517E+002, 6.0173921E+002, 6.4314382E+002, 6.5044513E+002, 6.5054410E+002, 3.7541845E+002, 4.8061281E+002, 5.2709560E+002, 5.3694052E+002, 5.3553696E+002
 1.7000241E+002, 1.3710318E+002, 5.3363235E+001, 5.8299697E+001, 6.1413047E+001, 6.7144863E+001, 2.5104830E+002, 2.1476543E+002, 2.1055737E+002, 1.9854336E+002, 1.7965575E+002, 1.3826742E+002, 2.6621319E+002, 1.8092527E+002, 1.9754702E+002, 2.1228910E+002, 2.2691927E+002, 2.1015949E+002, 8.4838868E-001, 6.1682784E-001, 4.8054138E+000, 4.4036044E+000, 3.9296297E+000, 3.1899887E+000, 2.8625385E+000, 3.2254497E+000, 3.5640171E+000, 3.9529915E+000, 5.1399433E+002, 5.9637801E+002, 6.5286799E+002, 6.6252222E+002, 6.6287370E+002, 3.8275449E+002, 4.8785322E+002, 5.3000057E+002, 5.3828790E+002, 5.3734382E+002
 1.8000114E+002, 1.3888860E+002, 5.3416090E+001, 5.9146037E+001, 6.1951808E+001, 6.5633470E+001, 2.5144757E+002, 2.2316891E+002, 2.2139510E+002, 2.1185235E+002, 1.9090551E+002, 1.3738322E+002, 2.6976895E+002, 1.8465258E+002, 2.0505400E+002, 2.2078947E+002, 2.3273383E+002, 2.1377250E+002, 8.1587718E-001, 6.4331181E-001, 3.9614617E+000, 3.7015858E+000, 3.4826544E+000, 3.1651300E+000, 2.7836148E+000, 2.9568576E+000, 3.2123217E+000, 3.7400467E+000, 5.1232619E+002, 6.0139093E+002, 6.5405033E+002, 6.6414805E+002, 6.6454766E+002, 3.9569755E+002, 4.9081075E+002, 5.3123555E+002, 5.3967664E+002, 5.3932193E+002
