m,C,m,kW/m2,kW/m2,m,kW
z_TC,TC,z_HF,HF_wide,HF_narrow,z,HRR
NaN,NaN,NaN,NaN,NaN, 7.3500000E+000, 6.0133211E-001
NaN,NaN,NaN,NaN,NaN, 7.4500000E+000, 4.9119607E-001
NaN,NaN,NaN,NaN,NaN, 7.5500000E+000, 4.0261175E-001
NaN,NaN,NaN,NaN,NaN, 7.6500000E+000, 3.2911955E-001
NaN,NaN,NaN,NaN,NaN, 7.7500000E+000, 2.6799409E-001
NaN,NaN,NaN,NaN,NaN, 7.8500000E+000, 2.1997439E-001
NaN,NaN,NaN,NaN,NaN, 7.9500000E+000, 1.8016294E-001
NaN,NaN,NaN,NaN,NaN, 8.0500000E+000, 1.4705455E-001
NaN,NaN,NaN,NaN,NaN, 8.1500000E+000, 1.2004062E-001
NaN,NaN,NaN,NaN,NaN, 8.2500000E+000, 9.8302514E-002
NaN,NaN,NaN,NaN,NaN, 8.3500000E+000, 8.0800122E-002
NaN,NaN,NaN,NaN,NaN, 8.4500000E+000, 6.6040524E-002
NaN,NaN,NaN,NaN,NaN, 8.5500000E+000, 5.4139571E-002
NaN,NaN,NaN,NaN,NaN, 8.6500000E+000, 4.4640924E-002
NaN,NaN,NaN,NaN,NaN, 8.7500000E+000, 3.6389575E-002
NaN,NaN,NaN,NaN,NaN, 8.8500000E+000, 2.9655832E-002
NaN,NaN,NaN,NaN,NaN, 8.9500000E+000, 2.4216182E-002
NaN,NaN,NaN,NaN,NaN, 9.0500000E+000, 1.9850857E-002
NaN,NaN,NaN,NaN,NaN, 9.1500000E+000, 1.6294522E-002
NaN,NaN,NaN,NaN,NaN, 9.2500000E+000, 1.3308940E-002
NaN,NaN,NaN,NaN,NaN, 9.3500000E+000, 1.0881164E-002
NaN,NaN,NaN,NaN,NaN, 9.4500000E+000, 8.9194009E-003
NaN,NaN,NaN,NaN,NaN, 9.5500000E+000, 7.2681034E-003
NaN,NaN,NaN,NaN,NaN, 9.6500000E+000, 5.9763142E-003
NaN,NaN,NaN,NaN,NaN, 9.7500000E+000, 4.8772494E-003
NaN,NaN,NaN,NaN,NaN, 9.8500000E+000, 4.0746633E-003
NaN,NaN,NaN,NaN,NaN, 9.9500000E+000, 2.4607714E-003
